time_window,channel,activation
Baseline,MEG 168,-0.46849105715582207
Baseline,MEG 188,-0.3666392511487904
Baseline,MEG 127,-0.34301250826161056
Baseline,MEG 176,-0.32630740335288566
Baseline,MEG 051,0.31446995630390145
Baseline,MEG 235,0.272171299666359
Baseline,MEG 228,0.26899561907764113
Baseline,MEG 123,-0.2651896502803047
Baseline,MEG 056,-0.2493535979548718
Baseline,MEG 100,0.23264729759486918
LPP,MEG 134,0.754548630223536
LPP,MEG 229,0.6724312819526999
LPP,MEG 163,0.651551399112527
LPP,MEG 100,0.5757446813343118
LPP,MEG 127,0.5577881707138738
LPP,MEG 168,0.540497959732337
LPP,MEG 026,0.5300471941671678
LPP,MEG 208,-0.5238745367627432
LPP,MEG 099,0.5231151539309599
LPP,MEG 166,0.5131640472294513
M100,MEG 055,0.9179816675246936
M100,MEG 154,0.9165594365247771
M100,MEG 168,0.8495771529845856
M100,MEG 127,0.7712848310339533
M100,MEG 197,0.7577291240648305
M100,MEG 140,-0.7531310056271172
M100,MEG 056,0.7468644690640405
M100,MEG 156,0.7399895101219267
M100,MEG 188,0.7360458654830699
M100,MEG 141,-0.7277190590263904
M200,MEG 154,0.8767457297675546
M200,MEG 055,0.8097984984197194
M200,MEG 156,0.7597006388693819
M200,MEG 056,0.7422960863111132
M200,MEG 168,0.6893842844263086
M200,MEG 197,0.6846938309971329
M200,MEG 018,0.682431607536478
M200,MEG 127,0.6658093239307544
M200,MEG 188,0.6554621136441432
M200,MEG 020,0.6438872663852451
M300,MEG 077,0.3087324407731212
M300,MEG 168,-0.247686412044948
M300,MEG 123,0.2347438397386601
M300,MEG 134,-0.21531897032821629
M300,MEG 163,-0.20493877031285726
M300,MEG 241,0.19949110005138365
M300,MEG 246,0.19273919809873
M300,MEG 079,0.18953312133105027
M300,MEG 078,0.17813082782220144
M300,MEG 186,0.17567481423549744
Post-Stimulus,MEG 127,0.6718882811781319
Post-Stimulus,MEG 055,0.5968113029105078
Post-Stimulus,MEG 154,0.5681965800802372
Post-Stimulus,MEG 134,0.5468602679185303
Post-Stimulus,MEG 168,0.5386125478282331
Post-Stimulus,MEG 100,0.5294678812798357
Post-Stimulus,MEG 188,0.5249202178921852
Post-Stimulus,MEG 141,-0.5214582671867493
Post-Stimulus,MEG 017,0.5137021610966028
Post-Stimulus,MEG 018,0.47911573869630564
